,fecha,obs1,obs2,obs3,r1d1R,r2d1R,r1d1S,r2d1S,r1d2R,r2d2R,r1d2S,r2d2S,obs,year,month,day,hour
44,2020-04-15,0.0,0.132734,0.0,,,,,,,,,0.066367,2020,4,15,0
45,2020-04-16,2.286,1.843514,0.02,,,,,,,,,2.064757,2020,4,16,0
46,2020-04-17,0.0,0.061619,0.0,,,,,,,,,0.0308095,2020,4,17,0
47,2020-04-18,16.764,16.569627,2.8600000000000003,22.03970340639353,16.161328133274264,60.86629068962911,58.34658113135214,9.36135482788086,10.538836427946222,69.73730087280273,44.36068186497269,16.6668135,2020,4,18,0
48,2020-04-19,11.938,9.796977,12.67,43.19221103191376,29.42384907855255,46.18497753143311,41.20903170359541,8.578208923339844,15.425138351671825,21.00463485717773,29.060614771474405,10.8674885,2020,4,19,0
49,2020-04-20,10.16,8.184019,4.970000000000001,17.204519912600517,20.44835741013805,46.29075288772583,49.641296920590925,1.39055061340332,5.234929520919237,38.141464233398445,37.97984990051244,9.1720095,2020,4,20,0
50,2020-04-21,0.254,0.1182009999999999,3.790000000000001,5.458737134933472,7.290217653486914,42.892709255218506,34.43731867321853,3.734499931335449,11.194092747739653,7.033924102783203,9.612474987432332,0.1861005,2020,4,21,0
51,2020-04-22,18.542,14.737403,3.19,22.600881904363632,30.455238318389185,72.59752225875854,82.41289589547233,17.668333053588864,18.597496542320417,20.990440368652344,34.98221138778746,16.6397015,2020,4,22,0
52,2020-04-23,1.27,1.1046679999999998,0.05,50.27781923860312,41.08464142883984,40.96850395202637,30.19648728804788,3.896305084228516,8.291909515216087,16.22211456298828,25.25365864010777,1.187334,2020,4,23,0
53,2020-04-24,0.508,0.36858,0.22,31.22608089447021,24.114750237555487,18.253526687622077,39.4561843735091,3.342281341552734,6.398593371919423,23.102539062499996,12.802829962674789,0.43829,2020,4,24,0
54,2020-04-25,5.334,4.019923,0.8,7.883900195360183,22.81432533309513,19.844170093536377,26.37530395303257,4.009757518768311,7.066614400890007,2.559123992919922,5.0359170548499845,4.676961499999999,2020,4,25,0
55,2020-04-26,0.254,0.075264,0.84,0.4186768084764476,0.7375583352349366,1.189289808273315,1.8998513114601323,22.431475400924683,17.654243044476353,14.328816652297974,22.02204484804904,0.164632,2020,4,26,0
56,2020-04-27,4.572,,9.92,9.944576045498254,10.742173541624528,31.597188893705614,22.52979017134264,34.84575176239014,23.364899728117493,45.253814697265625,35.531841326956,4.572,2020,4,27,0
57,2020-04-28,0.0,0.019266,0.21,11.135934829711914,16.71471635638032,29.965869903564453,31.985350760228624,31.366512298583984,28.469790752911425,87.32894897460938,68.60932045958583,0.009633,2020,4,28,0
58,2020-04-29,0.508,0.6351679999999998,0.38,40.35852631554008,41.54108280491613,83.44037729501724,63.78069509498545,9.505638122558594,23.24480269860529,20.980377197265625,22.599005214217428,0.5715839999999999,2020,4,29,0
59,2020-04-30,,,,,,,,,,,,,2020,4,30,0
60,2020-05-01,22.86,17.585068,2.7500000000000004,,,,,,,,,20.222534,2020,5,1,0
61,2020-05-02,0.0,0.015047,1.57,,,,,,,,,0.0075235,2020,5,2,0
62,2020-05-03,0.0,0.001816,0.6400000000000001,0.362678479403257,1.8962843886142635,0.4510919386520978,15.333582893606888,6.161807030439377,9.49823072668798,53.1528442800045,46.86856164632964,0.000908,2020,5,3,0
63,2020-05-04,6.8580000000000005,5.561105,3.94,,,,,,,,,6.2095525,2020,5,4,0
64,2020-05-05,0.0,0.0046,1.8400000000000003,3.15289831161499,7.571593199616629,11.523586750030518,13.19241177768916,68.31992053985596,65.7764784263943,0.043814659118652,0.2367208659066232,0.0023,2020,5,5,0
65,2020-05-06,0.762,0.981148,4.37,8.82339940033853,10.62652751387063,0.7756780898198479,1.2144425651256197,1.620929718017578,3.063076703829378,39.851785778999336,42.73507739969796,0.8715740000000001,2020,5,6,0
66,2020-05-07,0.0,0.0,0.26,30.065175294876106,26.273833907782823,61.30730295181274,34.83414735747058,6.853824615478516,3.039045939043977,0.1600646972656245,0.2374687900753409,0.0,2020,5,7,0
67,2020-05-08,0.0,0.0,0.41,,,,,,,,,0.0,2020,5,8,0
68,2020-05-09,0.0,0.0,0.05,19.778138753958046,17.590334256779165,47.42242336645722,49.30560778548978,45.49531173706055,38.10145165829944,67.52971267700195,65.1396261724704,0.0,2020,5,9,0
69,2020-05-10,0.762,1.951355,0.3,17.66788101196289,19.537743162171186,46.60215759277344,44.13275711008043,1.6757469177246087,1.7012766136148034,1.0185241699218748,2.919519687567891,1.3566775,2020,5,10,0
70,2020-05-11,2.54,1.7940010000000002,0.09,12.730701932683589,15.13669209149002,67.03612167388201,71.30830096947824,13.31485366821289,16.58375584661958,6.376480102539063,13.147179549190971,2.1670005000000003,2020,5,11,0
71,2020-05-12,41.148,47.146411,0.8500000000000001,0.2341223098337644,0.8999790982943189,15.845409059897063,16.073062768558422,24.420117989182472,18.436613758563837,20.92728042602539,25.35543196483235,44.1472055,2020,5,12,0
72,2020-05-13,0.0,0.303571,1.17,56.12820810079575,45.097842442241145,22.552932173013687,26.9972365349309,17.884052276611328,16.97323213305244,31.111936569213864,18.625914497731948,0.1517855,2020,5,13,0
73,2020-05-14,0.0,0.02625,0.0,9.085563642904162,10.531521394283434,19.45535112172365,20.84835444550117,16.821781158447266,16.917930429349084,4.847524642944335,6.733257342631205,0.013125,2020,5,14,0
74,2020-05-15,1.27,1.3266860000000005,1.97,0.4480800628662101,0.8718199749701582,26.835347890853885,29.54189376046936,0.4590797424316405,0.6648374677908734,0.0126800537109374,0.0324646224126723,1.298343,2020,5,15,0
75,2020-05-16,0.0,0.009917,1.22,0.0511891162022944,0.0402965103602016,0.0,0.0055787868785782,6.723064199090002,10.556124525707006,35.55045288801193,29.521037556773628,0.0049585,2020,5,16,0
76,2020-05-17,3.048,2.707144,4.44,1.3939851075410836,2.989694946737175,16.723604314020665,17.09544451280114,20.516570687294006,22.623583853661938,19.07701683044434,24.28556556476641,2.877572,2020,5,17,0
77,2020-05-18,6.096,3.972578,1.93,2.382091522216797,7.867537837305201,1.3842134475708,2.4773151188277285,14.694061279296877,16.266175775678292,38.5866289138794,36.01694205244914,5.034288999999999,2020,5,18,0
78,2020-05-19,7.620000000000001,5.82445,5.51,11.192951075732708,11.744408801736324,0.5636801791843027,2.8705239433390943,23.108067512512207,14.672093646184845,0.4100171923637387,1.4345001146572274,6.722225,2020,5,19,0
79,2020-05-20,0.0,0.0,0.04,0.0006060823798178,0.0016787887399394,0.3543309848878655,0.5150979723967721,37.84009771794081,29.675738342583383,0.0392801463603969,0.0816174153012846,0.0,2020,5,20,0
80,2020-05-21,0.0,0.0,0.0,0.3469975702464578,1.431662923619457,1.6046804229894234,2.3765969703492726,24.498793363571163,25.45501595813918,18.96295034885406,22.92476288157321,0.0,2020,5,21,0
81,2020-05-22,0.254,0.402048,0.13,1.8292338624596591,5.119899991079443,4.518315795110556,10.844491506502171,107.64451956748962,87.5341267051741,14.608055591583252,19.64303120896647,0.328024,2020,5,22,0
82,2020-05-23,0.0,0.00015,0.92,2.9922170322388406,3.24102902429978,0.01301259920001,0.0871119980586914,14.377589941024777,17.47682400655219,13.901332534849642,12.416479898736863,7.500000000000001e-05,2020,5,23,0
83,2020-05-24,0.0,0.0,0.0,0.7611102424561974,1.2661128200886227,2.117608821246001,2.6493515183500254,22.242026567459103,12.903124541946578,0.004555225372314,0.031619540152565,0.0,2020,5,24,0
84,2020-05-25,0.0,0.000617,0.05,1.6773330662399528,1.6962223843353872,11.501557374957644,12.042237009864456,11.713658332824709,15.42887513593331,1.5830316543579102,3.4582426573651865,0.0003085,2020,5,25,0
85,2020-05-26,0.0,0.058716,0.32,9.795737445354463,9.404420465581472,0.7510549575090407,0.907977773897114,0.6128721237182613,1.6300422356427036,1.2154228687286368,2.984895532664943,0.029358,2020,5,26,0
86,2020-05-27,1.524,1.2918819999999998,0.94,38.073110580444336,40.00081834980183,5.235848382115364,5.16942483142163,11.358325958251951,13.256875103787198,66.68243503570557,38.436418029648976,1.407941,2020,5,27,0
87,2020-05-28,5.08,4.389418999999999,3.1900000000000004,12.240337252616882,18.57662274458914,54.552575464244,46.05795573618808,29.44914531707764,24.96933113070354,38.89941787719727,43.48000454553241,4.734709499999999,2020,5,28,0
88,2020-05-29,12.954,11.573357,10.4,56.0949561148882,48.236862486930704,58.23533844947815,77.36051456874648,27.416404724121094,25.452295268295877,45.87726211547852,49.74502920542207,12.2636785,2020,5,29,0
89,2020-05-30,2.286,2.63772,0.6799999999999999,48.57133865356445,50.82241501352049,66.6265869140625,74.62380599525574,54.33265304565429,50.949244643856176,106.57644653320312,97.51301140571849,2.46186,2020,5,30,0
90,2020-05-31,,,,,,,,,,,,,2020,5,31,0
91,2020-06-01,0.254,0.54446,0.0,,,,,,,,,0.39923,2020,6,1,0
92,2020-06-02,0.762,3.239512,0.0,,,,,,,,,2.000756,2020,6,2,0
93,2020-06-03,14.986,13.410965,3.5100000000000007,0.1198668121360233,0.1858937239689197,25.5727084541104,17.922965291188063,4.65471537411213,8.696942648736723,50.22114181518554,44.9404732162148,14.1984825,2020,6,3,0
94,2020-06-04,0.0,0.001766,0.08,,,,,,,,,0.000883,2020,6,4,0
95,2020-06-05,0.0,0.01485,1.0000000000000002,25.33189582824707,26.258111660110547,12.593781399657018,12.676214693132074,0.5552330017089837,0.5164333153579737,0.1712150573730461,0.2726594980444834,0.007425,2020,6,5,0
96,2020-06-06,0.762,1.134456,0.31,19.492654800415043,18.066594833404896,29.15931367874145,32.58837298297792,41.19276809692383,40.77792399066512,17.64735412597656,24.143299984311906,0.948228,2020,6,6,0
97,2020-06-07,3.302,4.254832,0.0,1.2624244131147853,8.621799625264869,64.51216680789366,35.83862019985942,17.451720118522644,19.874673896947943,24.49232482910157,22.16820497088183,3.778416,2020,6,7,0
98,2020-06-08,0.0,,0.0,,,,,,,,,0.0,2020,6,8,0
99,2020-06-09,8.128,,1.8300000000000003,9.10492753982544,11.32881292857655,68.95930175174726,54.89603616009842,11.681848526000977,12.92469261878854,65.4238052368164,49.43150880694285,8.128,2020,6,9,0
100,2020-06-10,7.112,,1.86,1.6904764175415032,1.7024517298572024,14.816729545593262,18.20281645328576,7.130502700805664,6.585167854494893,15.244102478027344,16.760419208850013,7.112,2020,6,10,0
101,2020-06-11,13.97,,10.14,16.459063909947872,23.68874513764888,86.04184480011463,61.332720999073175,8.137914657592773,11.960217667708358,25.53227996826172,18.860443289546865,13.97,2020,6,11,0
102,2020-06-12,1.27,1.471674,2.14,1.777297068387269,4.276513611648593,63.14535236358643,44.21614085855232,24.72830820083617,25.3766084440092,25.926342010498047,24.63740031782232,1.370837,2020,6,12,0
103,2020-06-13,0.254,0.969712,2.1,8.538285251706839,8.197047002564538,7.184624880552292,18.70557398089552,6.497925758361816,6.311264108240311,14.800370216369632,8.012681665347214,0.6118560000000001,2020,6,13,0
104,2020-06-14,0.508,3.787899,2.93,1.0323224663734434,1.9289766036232336,0.0118875876069065,0.1042646777244425,0.2359963655471797,0.303250383632478,0.0045092105865476,0.0393381277355215,2.1479495,2020,6,14,0
105,2020-06-15,0.0,1.0361,0.02,0.7063812762498851,0.696746639517156,0.5595124357496382,0.8518767066939278,0.4318178892135617,1.96116887662106,8.576538681983948,10.64643356124632,0.51805,2020,6,15,0
106,2020-06-16,4.318,4.674985,2.66,0.0348774194717403,0.0416911536746091,7.080856824584771,15.221199129235938,7.305282205343246,19.59675558738409,74.56984663009644,80.32694272812975,4.4964925,2020,6,16,0
107,2020-06-17,17.018,12.047607,2.27,46.52642273902893,25.6695255465051,49.23740100860596,43.60120393950276,13.74930953979492,16.722002347931365,48.30503463745117,31.24427221254232,14.5328035,2020,6,17,0
108,2020-06-18,7.62,6.271482,0.37,4.938714565709233,3.564901058543103,41.41034373641014,55.40931563292599,41.58812856674194,41.58155179412937,50.955677032470696,64.13810831639321,6.945741,2020,6,18,0
109,2020-06-19,9.906,6.099399999999999,5.41,29.84917476773262,33.395643294949224,22.881258270936087,33.06598868245145,25.559469223022457,24.28255414113764,3.4237270355224605,4.84121385314304,8.0027,2020,6,19,0
110,2020-06-20,14.732,13.394403,16.93,29.673182195052508,26.578031535164094,4.49930176945054,5.3742545077247055,0.6452579498291011,0.8185658869851132,0.0148992538452146,0.0140073867708596,14.0632015,2020,6,20,0
111,2020-06-21,11.683999999999996,10.269033,3.370000000000001,2.843172073364257,5.914627569701135,0.0011291503906249,0.135308291697599,0.0199337005615231,0.0267444352090495,0.0024967193603515,0.0043435627143319,10.9765165,2020,6,21,0
112,2020-06-22,0.0,0.0555849999999999,0.1,4.101247865706682,4.691539205580348,5.108368390852831,8.232647772552909,0.080748081207275,0.1242278642477548,2.0693612098693848,5.2733227249762304,0.0277924999999999,2020,6,22,0
